,d_name,did,d_code,relation,e_name,eid,e_code
304,扁桃体肥大,576,46689006,has symptom,耳内闭塞感,814,103281005
306,扁桃体结石,108,6461009,has symptom_main,吞咽困难,1265,40739000
307,扁桃体结石,108,6461009,has symptom_main,咽喉痛,1743,162397003
308,扁桃体结石,108,6461009,has symptom,口臭,1526,79879001
309,扁桃体结石,108,6461009,has symptom,耳痛,1053,16001004
313,扁桃体炎,472,90176007,has symptom_main,扁桃体充血,1431,286802001
314,扁桃体炎,472,90176007,has symptom_main,发热伴寒战,1613,274640006
315,扁桃体炎,472,90176007,has symptom_main,咽喉痛,1743,162397003
316,扁桃体炎,472,90176007,has symptom,唾液分泌增多,1645,34178000|35105006
317,扁桃体炎,472,90176007,has symptom,咽喉痛,1743,162397003
326,扁桃体周围脓肿,384,15033003,has symptom_main,扁桃体脓点,835,75573002|255316004
327,扁桃体周围脓肿,384,15033003,has symptom_main,口齿不清,1646,69577009
328,扁桃体周围脓肿,384,15033003,has symptom_main,流涎,1209,62718007
329,扁桃体周围脓肿,384,15033003,has symptom_main,咽喉痛,1743,162397003
330,扁桃体周围脓肿,384,15033003,has symptom_main,吞咽困难,1265,40739000
331,扁桃体周围脓肿,384,15033003,has symptom,颈部淋巴结肿大,1259,127086001
332,扁桃体周围脓肿,384,15033003,has symptom,口臭,1526,79879001
340,变异型心绞痛,571,87343002,has symptom_main,胸痛,2062,29857009
341,变异型心绞痛,571,87343002,has symptom,面色苍白,1952,398979000
342,变异型心绞痛,571,87343002,has symptom,心律失常,2094,698247007
343,变异型心绞痛,571,87343002,has symptom,晕厥,1479,271594007
354,表皮葡萄球菌肺炎,551,22754005,has symptom_main,发热,755,386661006
355,表皮葡萄球菌肺炎,551,22754005,has symptom_main,咳嗽,1406,49727002
356,表皮葡萄球菌肺炎,551,22754005,has symptom_main,呼吸困难,1207,267036007
357,表皮葡萄球菌肺炎,551,22754005,has symptom,寒战,1281,43724002
358,表皮葡萄球菌肺炎,551,22754005,has symptom,脓痰,1581,42192008
367,病毒性肺炎,402,75570004,has symptom_main,发热,755,386661006
368,病毒性肺炎,402,75570004,has symptom_main,肌肉痛,1687,68962001
369,病毒性肺炎,402,75570004,has symptom_main,咳嗽,1406,49727002
370,病毒性肺炎,402,75570004,has symptom_main,咽喉痛,1743,162397003
371,病毒性肺炎,402,75570004,has symptom_main,腹泻,992,62315008
372,病毒性肺炎,402,75570004,has symptom,鼻翼扇动,2045,21558008
373,病毒性肺炎,402,75570004,has symptom,乏力,1405,13791008
374,病毒性肺炎,402,75570004,has symptom,头痛,1650,25064002
375,病毒性肝炎,41,3738000,has symptom,低热,1567,304213008
376,病毒性肝炎,41,3738000,has symptom,肝脏肿大,1799,80515008
377,病毒性肝炎,41,3738000,has symptom,肝掌,1384,248413004
378,病毒性肝炎,41,3738000,has symptom,黄疸,829,18165001
379,病毒性肝炎,41,3738000,has symptom,蜘蛛痣,2136,195382003
380,病毒性肝炎,41,3738000,has symptom,恶心,1369,422587007
381,病毒性肝炎,41,3738000,has symptom,乏力,1405,13791008
382,病毒性肝炎,41,3738000,has symptom,烦躁不安,878,30819006
383,病毒性肝炎,41,3738000,has symptom,腹水,1959,389026000
384,病毒性肝炎,41,3738000,has symptom,肝被膜紧张,1494,48781005|53489000
385,病毒性肝炎,41,3738000,has symptom,肝压痛,2187,102627005
386,病毒性上呼吸道感染,711,281794004,has symptom_main,发热,755,386661006
387,病毒性上呼吸道感染,711,281794004,has symptom_main,流鼻涕,1571,64531003
388,病毒性上呼吸道感染,711,281794004,has symptom_main,咽喉痛,1743,162397003
389,病毒性上呼吸道感染,711,281794004,has symptom_main,鼻塞,1515,68235000
390,病毒性上呼吸道感染,711,281794004,has symptom_main,打喷嚏,1520,76067001
391,病毒性上呼吸道感染,711,281794004,has symptom_main,乏力,1405,13791008
392,病毒性上呼吸道感染,711,281794004,has symptom_main,浑身酸痛,1766,82991003
393,病毒性上呼吸道感染,711,281794004,has symptom_main,咽喉痛,1743,162397003
394,病毒性上呼吸道感染,711,281794004,has symptom,厌食,827,79890006
395,病毒性上呼吸道感染,711,281794004,has symptom,发热伴咳嗽,871,135883003
396,病毒性上呼吸道感染,711,281794004,has symptom,声音嘶哑,775,50219008
402,病毒性胃肠炎,119,111843007,has symptom_main,发热,755,386661006
403,病毒性胃肠炎,119,111843007,has symptom_main,腹痛,1288,21522001
404,病毒性胃肠炎,119,111843007,has symptom_main,腹泻,992,62315008
405,病毒性胃肠炎,119,111843007,has symptom_main,呕吐,1608,422400008
406,病毒性胃肠炎,119,111843007,has symptom_main,水样便,2107,398212009
407,病毒性胃肠炎,119,111843007,has symptom_main,稀便,1714,398032003
408,病毒性胃肠炎,119,111843007,has symptom_main,粘液便,1713,271864008
409,病毒性胃肠炎,119,111843007,has symptom,恶心,1369,422587007
410,病毒性胃肠炎,119,111843007,has symptom,脱水,1422,34095006
418,病毒性咽炎,664,1532007,has symptom_main,水疱,885,339008
419,病毒性咽炎,664,1532007,has symptom_main,吞咽痛,2100,30233002
420,病毒性咽炎,664,1532007,has symptom_main,咽部溃疡,2168,126666006
421,病毒性咽炎,664,1532007,has symptom_main,咽喉充血,1594,102617004
422,病毒性咽炎,664,1532007,has symptom,咽喉痛,1743,162397003
425,病态窦房结综合征,537,36083008,has symptom_main,乏力,1405,13791008
426,病态窦房结综合征,537,36083008,has symptom_main,黑蒙,2117,70449006
427,病态窦房结综合征,537,36083008,has symptom_main,心悸,1961,80313002
428,病态窦房结综合征,537,36083008,has symptom_main,晕厥,1479,271594007
429,病态窦房结综合征,537,36083008,has symptom_main,阵发性头晕,1122,404640003|26593000
430,病态窦房结综合征,537,36083008,has symptom,记忆力障碍,177,386807006
431,病态窦房结综合征,537,36083008,has symptom,胸闷,1742,23924001
435,玻璃体混浊,170,422061002,has symptom_main,视力下降,2010,225581002
436,玻璃体混浊,170,422061002,has symptom_main,眼前黑影,1710,162278001
437,玻璃体混浊,170,422061002,has symptom,视物模糊,1064,246636008
441,剥脱性皮炎,325,399992009,has symptom_main,大量皮肤脱屑,1484,271767006|46998006
442,剥脱性皮炎,325,399992009,has symptom_main,潮红,1525,20255002
443,剥脱性皮炎,325,399992009,has symptom_main,皮损,1230,95324001
444,剥脱性皮炎,325,399992009,has symptom_main,肿胀,921,65124004
445,剥脱性皮炎,325,399992009,has symptom,肝脾肿大,1866,36760000
446,剥脱性皮炎,325,399992009,has symptom,肝脏肿大,1799,80515008
447,剥脱性皮炎,325,399992009,has symptom,睾丸萎缩,1916,17585008
448,剥脱性皮炎,325,399992009,has symptom,口腔溃疡,917,26284000
454,不稳定性心绞痛,329,4557003,has symptom_main,胸痛,2062,29857009
455,不稳定性心绞痛,329,4557003,has symptom_main,心悸,1961,80313002
456,不稳定性心绞痛,329,4557003,has symptom_main,心绞痛,578,194828000
457,不稳定性心绞痛,329,4557003,has symptom,呼吸困难,1207,267036007
470,餐后血糖过低症,137,14725002,has symptom_main,乏力,1405,13791008
471,餐后血糖过低症,137,14725002,has symptom_main,心悸,1961,80313002
472,餐后血糖过低症,137,14725002,has symptom_main,冷汗,1629,83547004
473,餐后血糖过低症,137,14725002,has symptom_main,头晕,969,404640003
474,餐后血糖过低症,137,14725002,has symptom,意识障碍,1876,3006004
475,餐后血糖过低症,137,14725002,has symptom,震颤,756,26079004
478,产后泌尿道感染,336,199111004,has symptom_main,尿道口痒,1659,87528003|418290006
479,产后泌尿道感染,336,199111004,has symptom_main,尿急,1829,75088002
480,产后泌尿道感染,336,199111004,has symptom_main,尿频,892,162116003
481,产后泌尿道感染,336,199111004,has symptom_main,尿痛,2157,49650001
482,产后泌尿道感染,336,199111004,has symptom,产后发热,1927,248451004
483,产后泌尿道感染,336,199111004,has symptom,腹痛,1288,21522001
490,肠病性肢端皮炎,217,37702000,has symptom_main,皮炎,1438,703938007
491,肠病性肢端皮炎,217,37702000,has symptom_main,腹泻,992,62315008
492,肠病性肢端皮炎,217,37702000,has symptom_main,脱发,1760,56317004
493,肠病性肢端皮炎,217,37702000,has symptom,角膜混浊,891,64634000
494,肠病性肢端皮炎,217,37702000,has symptom,舌炎,677,45534005
495,肠病性肢端皮炎,217,37702000,has symptom,畏光,2170,409668002
500,肠道蛔虫,548,57540006,has symptom_main,肠梗阻,1467,81060008
501,肠道蛔虫,548,57540006,has symptom_main,呕吐,1608,422400008
502,肠道蛔虫,548,57540006,has symptom_main,恶心,1369,422587007
503,肠道蛔虫,548,57540006,has symptom_main,腹痛,1288,21522001
504,肠道蛔虫,548,57540006,has symptom,食欲下降,987,64379006
505,肠道蛔虫,548,57540006,has symptom,腹泻,992,62315008
506,肠道蛔虫,548,57540006,has symptom,蛔虫感染,1587,50982003
507,肠道蛔虫,548,57540006,has symptom,脓肿,2103,128477000
508,肠道蛔虫,548,57540006,has symptom,消化不良,630,162031009
513,肠道息肉病,573,254589009,has symptom_main,便血,870,405729008
514,肠道息肉病,573,254589009,has symptom_main,大便习惯改变,1079,88111009
515,肠道息肉病,573,254589009,has symptom_main,腹部不适,770,43364001
516,肠道息肉病,573,254589009,has symptom_main,腹痛,1288,21522001
517,肠道息肉病,573,254589009,has symptom,肠出血,985,712510007
518,肠道息肉病,573,254589009,has symptom,消瘦,1036,61294007
521,肠胃炎,732,25374005,has symptom_main,腹泻,992,62315008
522,肠胃炎,732,25374005,has symptom_main,上吐下泻,1697,249519007
523,肠胃炎,732,25374005,has symptom,腹痛,1288,21522001
524,肠胃炎,732,25374005,has symptom,肛门肿胀,2005,53505006|65124004
531,肠易激综合征,61,10743008,has symptom_main,大便习惯改变,1079,88111009
532,肠易激综合征,61,10743008,has symptom_main,腹胀,1028,60728008
533,肠易激综合征,61,10743008,has symptom_main,便秘,1733,14760008
534,肠易激综合征,61,10743008,has symptom_main,腹痛,1288,21522001
535,肠易激综合征,61,10743008,has symptom_main,腹泻,992,62315008
536,肠易激综合征,61,10743008,has symptom,排气多,1884,249504006
537,肠易激综合征,61,10743008,has symptom,粘液便,1713,271864008
538,肠易激综合征,61,10743008,has symptom,腹部不适,770,43364001
544,常年性鼻炎,648,446096008,has symptom_main,鼻痒,2140,45206002|418290006
545,常年性鼻炎,648,446096008,has symptom_main,流清涕,1808,64611009
546,常年性鼻炎,648,446096008,has symptom_main,鼻塞,1515,68235000
547,常年性鼻炎,648,446096008,has symptom_main,连续打喷嚏,1683,76067001|263892007
548,常年性鼻炎,648,446096008,has symptom,鼻分泌物增多,1700,64531003|35105006
549,常年性鼻炎,648,446096008,has symptom,鼻孔疼,1433,279073002
550,常年性鼻炎,648,446096008,has symptom,回吸性涕血,1712,
551,常年性鼻炎,648,446096008,has symptom,听力下降,2053,103276001
552,常年性鼻炎,648,446096008,has symptom,息肉,1132,441456002
562,尘螨过敏性哮喘,552,703954005,has symptom_main,打喷嚏,1520,76067001
563,尘螨过敏性哮喘,552,703954005,has symptom_main,流鼻涕,1571,64531003
564,尘螨过敏性哮喘,552,703954005,has symptom_main,鼻痒,2140,45206002|418290006
565,尘螨过敏性哮喘,552,703954005,has symptom_main,发作性咳嗽,1257,43025008
566,尘螨过敏性哮喘,552,703954005,has symptom,鼻翼扇动,2045,21558008
567,尘螨过敏性哮喘,552,703954005,has symptom,端坐呼吸,1657,62744007
568,尘螨过敏性哮喘,552,703954005,has symptom,烦躁不安,878,30819006
569,尘螨过敏性哮喘,552,703954005,has symptom,呼吸音减弱,781,58840004
570,尘螨过敏性哮喘,552,703954005,has symptom,哮鸣音,1091,56018004
571,尘螨过敏性哮喘,552,703954005,has symptom,胸闷,1742,23924001
579,尺神经损伤,435,87450004,has symptom_main,小指外展,1964,12406000|767171001
580,尺神经损伤,435,87450004,has symptom_main,爪状手,1689,299034005
581,尺神经损伤,435,87450004,has symptom,感觉障碍,845,85972008
582,尺神经损伤,435,87450004,has symptom,肌肉萎缩,2080,88092000
583,尺神经损伤,435,87450004,has symptom,写字困难,2023,102938007
584,尺神经损伤,435,87450004,has symptom_main,持物不稳,1894,
587,齿龈炎,305,66383009,has symptom_main,齿龈出血,1131,86276007
588,齿龈炎,305,66383009,has symptom_main,齿龈肿胀,1839,309685001
589,齿龈炎,305,66383009,has symptom_main,牙龈痛,1667,11114002
590,齿龈炎,305,66383009,has symptom,齿龈增生,1870,163163007
596,充血性心力衰竭,238,42343007,has symptom_main,呼吸困难,1207,267036007
597,充血性心力衰竭,238,42343007,has symptom_main,下肢水肿,2088,102572006
598,充血性心力衰竭,238,42343007,has symptom_main,粉红色泡沫样痰,1724,68423001|371243003
599,充血性心力衰竭,238,42343007,has symptom,颈静脉怒张,1652,271653008
600,充血性心力衰竭,238,42343007,has symptom,第三心音奔马律,1992,49864004
601,充血性心力衰竭,238,42343007,has symptom,端坐呼吸,1657,62744007
602,充血性心力衰竭,238,42343007,has symptom,恶心,1369,422587007
603,充血性心力衰竭,238,42343007,has symptom,乏力,1405,13791008
622,虫咬皮炎,275,402144007,has symptom_main,皮肤红肿,1092,300886007
623,虫咬皮炎,275,402144007,has symptom_main,顶端有小疱的丘疹,2127,
624,虫咬皮炎,275,402144007,has symptom_main,风团,2001,247472004
625,虫咬皮炎,275,402144007,has symptom_main,皮肤散在丘疹,1722,445328000|255393008
626,虫咬皮炎,275,402144007,has symptom_main,皮肤瘙痒,1311,418363000
627,虫咬皮炎,275,402144007,has symptom,发热,755,386661006
628,虫咬皮炎,275,402144007,has symptom,脓疱,1622,271760008
635,喘息样支气管炎,715,405944004,has symptom_main,发热,755,386661006
636,喘息样支气管炎,715,405944004,has symptom_main,湿啰音,1582,248618001
637,喘息样支气管炎,715,405944004,has symptom_main,变应性咳嗽,1523,300959008
638,喘息样支气管炎,715,405944004,has symptom_main,哮鸣音,1091,56018004
639,喘息样支气管炎,715,405944004,has symptom,胸闷,1742,23924001
654,创伤后应激障碍,299,47505003,has symptom,出汗,1895,415691001
655,创伤后应激障碍,299,47505003,has symptom,心悸,1961,80313002
656,创伤后应激障碍,299,47505003,has symptom,注意力不集中,1270,22058002
657,创伤后应激障碍,299,47505003,has symptom,噩梦,2132,419145002
658,创伤后应激障碍,299,47505003,has symptom,过分地惊跳反应,1357,286704008
659,创伤后应激障碍,299,47505003,has symptom,面色苍白,1952,398979000
660,创伤后应激障碍,299,47505003,has symptom,情感麻痹,915,932006
661,创伤后应激障碍,299,47505003,has symptom,入睡障碍性失眠,1634,59050008
662,唇炎,533,7847004,has symptom,唇角脱屑,1666,23161009|271767006
663,唇炎,533,7847004,has symptom,唇肿大,1420,699376002
665,大肠埃希杆菌肺炎,428,51530003,has symptom_main,发热,755,386661006
666,大肠埃希杆菌肺炎,428,51530003,has symptom_main,咳嗽,1406,49727002
667,大肠埃希杆菌肺炎,428,51530003,has symptom_main,咳痰,774,28743005
668,大肠埃希杆菌肺炎,428,51530003,has symptom_main,口唇发绀,1453,48477009|3415004
669,大肠埃希杆菌肺炎,428,51530003,has symptom_main,手指发绀,1407,7569003|3415004
670,大肠埃希杆菌肺炎,428,51530003,has symptom_main,胸痛,2062,29857009
671,大肠埃希杆菌肺炎,428,51530003,has symptom_main,寒战,1281,43724002
672,大肠埃希杆菌肺炎,428,51530003,has symptom_main,呼吸困难,1207,267036007
673,大肠埃希杆菌肺炎,428,51530003,has symptom,腹痛,1288,21522001
682,大肠埃希杆菌性胃肠炎,445,240355008,has symptom_main,腹胀,1028,60728008
683,大肠埃希杆菌性胃肠炎,445,240355008,has symptom_main,呕吐,1608,422400008
684,大肠埃希杆菌性胃肠炎,445,240355008,has symptom_main,水样便,2107,398212009
685,大肠埃希杆菌性胃肠炎,445,240355008,has symptom_main,恶心,1369,422587007
686,大肠埃希杆菌性胃肠炎,445,240355008,has symptom_main,腹痛,1288,21522001
687,大肠埃希杆菌性胃肠炎,445,240355008,has symptom_main,腹泻,992,62315008
688,大肠埃希杆菌性胃肠炎,445,240355008,has symptom,食欲下降,987,64379006
